time,t,T,s,i,open,close,high,low,volume,n
2026-01-01 20:24:00,1767299040000,1767299099999,DOGE,1m,0.12582,0.12582,0.12582,0.12582,17855.0,1
2026-01-01 20:25:00,1767299100000,1767299159999,DOGE,1m,0.12582,0.12582,0.12582,0.12582,0.0,0
2026-01-01 20:26:00,1767299160000,1767299219999,DOGE,1m,0.12585,0.12579,0.12585,0.12579,22123.0,3
2026-01-01 20:27:00,1767299220000,1767299279999,DOGE,1m,0.12583,0.12583,0.12583,0.12583,4134.0,2
2026-01-01 20:28:00,1767299280000,1767299339999,DOGE,1m,0.1258,0.1258,0.1258,0.1258,70651.0,1
2026-01-01 20:29:00,1767299340000,1767299399999,DOGE,1m,0.12576,0.12574,0.12576,0.12574,238.0,2
2026-01-01 20:30:00,1767299400000,1767299459999,DOGE,1m,0.12573,0.12565,0.12573,0.12565,4719.0,2
2026-01-01 20:31:00,1767299460000,1767299519999,DOGE,1m,0.12555,0.12567,0.12572,0.12554,15050.0,9
2026-01-01 20:32:00,1767299520000,1767299579999,DOGE,1m,0.12564,0.12546,0.12564,0.12546,8160.0,8
2026-01-01 20:33:00,1767299580000,1767299639999,DOGE,1m,0.12545,0.12612,0.12619,0.12545,128030.0,36
2026-01-01 20:34:00,1767299640000,1767299699999,DOGE,1m,0.12612,0.12608,0.12612,0.12608,45722.0,8
2026-01-01 20:35:00,1767299700000,1767299759999,DOGE,1m,0.12604,0.12609,0.12612,0.12604,26821.0,7
2026-01-01 20:36:00,1767299760000,1767299819999,DOGE,1m,0.1259,0.12566,0.1259,0.12566,239430.0,14
2026-01-01 20:37:00,1767299820000,1767299879999,DOGE,1m,0.12577,0.12579,0.12579,0.12577,5540.0,2
2026-01-01 20:38:00,1767299880000,1767299939999,DOGE,1m,0.12573,0.12571,0.12573,0.12571,723.0,2
2026-01-01 20:39:00,1767299940000,1767299999999,DOGE,1m,0.12574,0.12574,0.12574,0.12574,6059.0,2
2026-01-01 20:40:00,1767300000000,1767300059999,DOGE,1m,0.1258,0.12575,0.12582,0.12575,37698.0,5
2026-01-01 20:41:00,1767300060000,1767300119999,DOGE,1m,0.12574,0.12575,0.12575,0.12574,4917.0,2
2026-01-01 20:42:00,1767300120000,1767300179999,DOGE,1m,0.1258,0.12586,0.12586,0.1258,45019.0,11
2026-01-01 20:43:00,1767300180000,1767300239999,DOGE,1m,0.12588,0.12588,0.12588,0.12588,835.0,1
2026-01-01 20:44:00,1767300240000,1767300299999,DOGE,1m,0.12586,0.12584,0.12586,0.12584,476.0,2
2026-01-01 20:45:00,1767300300000,1767300359999,DOGE,1m,0.1258,0.1258,0.1258,0.1258,123.0,1
2026-01-01 20:46:00,1767300360000,1767300419999,DOGE,1m,0.12598,0.12603,0.12603,0.12598,9447.0,4
2026-01-01 20:47:00,1767300420000,1767300479999,DOGE,1m,0.12602,0.12602,0.12602,0.12602,446.0,2
2026-01-01 20:48:00,1767300480000,1767300539999,DOGE,1m,0.12602,0.12602,0.12602,0.12602,0.0,0
2026-01-01 20:49:00,1767300540000,1767300599999,DOGE,1m,0.12602,0.12607,0.12607,0.12602,7500.0,4
2026-01-01 20:50:00,1767300600000,1767300659999,DOGE,1m,0.12607,0.12607,0.12607,0.12607,1568.0,1
2026-01-01 20:51:00,1767300660000,1767300719999,DOGE,1m,0.12607,0.126,0.12607,0.126,262.0,2
2026-01-01 20:52:00,1767300720000,1767300779999,DOGE,1m,0.126,0.126,0.126,0.126,0.0,0
2026-01-01 20:53:00,1767300780000,1767300839999,DOGE,1m,0.12598,0.12595,0.12598,0.12595,464.0,2
2026-01-01 20:54:00,1767300840000,1767300899999,DOGE,1m,0.1259,0.1259,0.1259,0.1259,833.0,2
2026-01-01 20:55:00,1767300900000,1767300959999,DOGE,1m,0.12583,0.126,0.126,0.12583,2723.0,3
2026-01-01 20:56:00,1767300960000,1767301019999,DOGE,1m,0.12598,0.12598,0.12598,0.12598,145.0,1
2026-01-01 20:57:00,1767301020000,1767301079999,DOGE,1m,0.12598,0.12598,0.12598,0.12598,0.0,0
2026-01-01 20:58:00,1767301080000,1767301139999,DOGE,1m,0.12601,0.12603,0.12603,0.12601,518.0,3
2026-01-01 20:59:00,1767301140000,1767301199999,DOGE,1m,0.12606,0.12606,0.12606,0.12606,13690.0,1
2026-01-01 21:00:00,1767301200000,1767301259999,DOGE,1m,0.12607,0.12611,0.12618,0.12607,35828.0,8
2026-01-01 21:01:00,1767301260000,1767301319999,DOGE,1m,0.12612,0.1262,0.1262,0.12612,3674.0,7
2026-01-01 21:02:00,1767301320000,1767301379999,DOGE,1m,0.12623,0.12611,0.12623,0.12609,2747.0,7
2026-01-01 21:03:00,1767301380000,1767301439999,DOGE,1m,0.12617,0.12621,0.12622,0.12617,21904.0,6
2026-01-01 21:04:00,1767301440000,1767301499999,DOGE,1m,0.12621,0.12621,0.12621,0.12621,149.0,1
