Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,200)","Exit_ta_wrapper(ema,C,200)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)"
14,2583,2584,67952.0,67612.24995,67612.24995,69399.99,-6654.400199300033,1897.8994993000001,-0.006994853719537392,2024-07-27 19:45:00,2024-07-27 20:00:00,0 days 00:15:00,,67561.17428488124,67562.7055855292,27.19215829908469,28.99596948658185,324.5059805,376.9354505
13,2585,2585,67715.08,67376.49465000001,67376.49465000001,69399.99,-6157.800020449921,1756.1904704500002,-0.006995146792265382,2024-07-27 20:15:00,2024-07-27 20:15:00,0 days 00:00:00,,67560.42980855877,67560.42980855877,31.711461835636833,31.711461835636833,497.34302550000007,497.34302550000007
13,2588,2600,67791.21,67452.2639,67452.2639,69399.99,-6164.464460700014,1758.1651607000003,-0.006994853372583283,2024-07-27 21:00:00,2024-07-28 00:00:00,0 days 03:00:00,,67568.74789056851,67665.16434380559,31.725639394724684,22.16453820488362,795.834205,874.4269260000001
13,2646,2705,67794.01,69182.94,67246.31976,69182.94,16275.3896500001,1780.7003499999998,0.018467015743721494,2024-07-28 11:30:00,2024-07-29 02:15:00,0 days 14:45:00,,67667.18398231213,67877.8737410948,24.469811597964817,30.36637751775965,109.22258500000001,197.066684
13,2753,2755,68712.04,68389.928,68389.928,69888.0,-5969.781583999918,1782.325584,-0.006683165977898363,2024-07-29 14:15:00,2024-07-29 14:45:00,0 days 00:30:00,,68502.42211131695,68503.21442563954,25.20081661732093,27.874492766924494,466.8342215,523.0574925
15,3809,3809,60806.14,60621.35496,60621.35496,62381.9,-4593.188024400037,1821.4124244,-0.005035881819829425,2024-08-09 14:15:00,2024-08-09 14:15:00,0 days 00:00:00,,59075.18757514528,59075.18757514528,25.544452290222257,25.544452290222257,413.31673700000005,413.31673700000005
15,4866,4866,60016.0,59737.0764,59737.0764,61400.0,-5980.150146000029,1796.2961460000001,-0.0066428398493735665,2024-08-20 14:30:00,2024-08-20 14:30:00,0 days 00:00:00,,59737.430243096875,59737.430243096875,26.9704746653859,26.9704746653859,367.3839205,367.3839205
15,5012,5152,60186.49,61820.93,59456.06972,61820.93,22686.488700000034,1830.1113,0.025129104222558943,2024-08-22 03:00:00,2024-08-23 14:00:00,1 days 11:00:00,,59971.98193903256,60605.8558328562,26.30106809206617,24.43128112508253,250.0751725,299.611831
14,5240,5254,63905.0,63875.59216,63875.59216,64955.0,-2200.638050239998,1788.92829024,-0.0024597203999686475,2024-08-24 12:00:00,2024-08-24 15:30:00,0 days 03:30:00,,62444.457849204504,62663.99595725443,30.371685931776344,24.807986409635557,154.97940300000002,150.804833
16,6187,6206,58788.01,58622.55928,58622.55928,59809.65,-4525.780628480012,1878.56910848,-0.004811547274350708,2024-09-03 08:45:00,2024-09-03 13:30:00,0 days 04:45:00,,58653.514739034705,58719.97124856277,22.978638595464172,18.376518243308652,182.175866,194.677331
16,6927,6927,57108.01,56816.8882,56816.8882,58044.36,-6480.747171200013,1822.7983712,-0.007092642489205997,2024-09-11 01:45:00,2024-09-11 01:45:00,0 days 00:00:00,,56576.655914263654,56576.655914263654,23.997251786435577,23.997251786435577,206.02130250000002,206.02130250000002
16,6928,6937,56717.99,56434.40005,56434.40005,58044.36,-6347.877440800023,1810.4382408000001,-0.006995000000000005,2024-09-11 02:00:00,2024-09-11 04:15:00,0 days 02:15:00,,56580.49854198242,56600.673565716876,25.08358598510639,33.59504770395124,216.54547950000003,302.81471999999997
