Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,200)","Exit_ta_wrapper(ema,C,200)"
16,11610,11776,71995.53,71010.621,71010.621,75329.379,-18046.642415999995,2288.098416,-0.0156664608344435,2024-10-29 20:30:00,2024-10-31 14:00:00,1 days 17:30:00,,70203.39799401286,71855.19954547305
16,11879,11892,69945.71,69042.6,69042.6,73453.84,-16673.57296000001,2223.81296,-0.014898673699930972,2024-11-01 15:45:00,2024-11-01 19:00:00,0 days 03:15:00,,70718.61830702815,70588.26193783179
15,12327,12689,73627.99,77354.7682,72039.1518,77354.7682,53636.93162700001,2264.7413730000003,0.048565707712515255,2024-11-06 07:45:00,2024-11-10 02:15:00,3 days 18:30:00,,70150.58025533578,76117.38433409928
13,12874,13031,87952.0,92359.6484,85067.5716,92359.6484,54955.37777080007,2344.0514292,0.04806413443241772,2024-11-12 00:30:00,2024-11-13 15:45:00,1 days 15:15:00,,81810.935158064,86759.36918753064
13,13046,13052,91162.47,88643.65950000001,88643.65950000001,96556.34049999999,-35082.0161834999,2337.4796835,-0.029602276347931302,2024-11-13 19:30:00,2024-11-13 21:00:00,0 days 01:30:00,,87508.01266982702,87657.90339821408
14,13148,13475,87612.67,92007.08739999999,86651.47260000001,92007.08739999999,59007.16699639988,2514.6766036,0.04810717037387386,2024-11-14 21:00:00,2024-11-18 06:45:00,3 days 09:45:00,,88974.18223589778,90365.61139806474
14,13524,13749,90356.8,95127.85290000001,88541.92709999999,95127.85290000001,64197.95545940014,2596.7851406,0.050749564472181485,2024-11-18 19:00:00,2024-11-21 03:15:00,2 days 08:15:00,,90659.50196511533,93023.49581090892
14,14290,14297,92395.98,91329.5097,91329.5097,96966.9903,-17502.741055800012,2572.1568558,-0.013530846143955635,2024-11-26 18:30:00,2024-11-26 20:15:00,0 days 01:45:00,,95014.663927937,94801.37183314895
14,14863,14943,95450.0,93818.34,93818.34,100012.84,-25492.99676000005,2649.75676,-0.019077300576217954,2024-12-02 17:45:00,2024-12-03 13:45:00,0 days 20:00:00,,96452.95755065263,95914.08494223938
12,16215,16345,106422.58,104073.75,104073.75,110798.25,-30711.91596000002,2525.9559600000002,-0.024048715319624814,2024-12-16 19:45:00,2024-12-18 04:15:00,1 days 08:30:00,,103886.13253135749,105711.36267965681
13,16526,16559,97061.95,94842.0,94842.0,100646.54000000001,-31354.10134999996,2494.7513499999995,-0.02484860390709233,2024-12-20 01:30:00,2024-12-20 09:45:00,0 days 08:15:00,,101359.36766047725,100090.5220126294
13,16836,16872,94824.83,93085.9083,93085.9083,98990.8917,-25048.82169790008,2442.8395978999997,-0.02031991450235137,2024-12-23 07:00:00,2024-12-23 16:00:00,0 days 09:00:00,,96388.79412947687,96059.24114788961
13,16912,16966,94123.43,97949.9883,92250.0117,97949.9883,47248.303462100055,2496.9544379,0.03861402927730122,2024-12-24 02:00:00,2024-12-24 15:30:00,0 days 13:30:00,,95371.27183302327,95133.24147344749
13,17567,17929,92666.66,98186.95319999999,90964.48680000001,98186.95319999999,69282.71462839982,2481.0969716,0.057511942124599966,2024-12-30 21:45:00,2025-01-03 16:15:00,3 days 18:30:00,,94029.18489917052,96175.33050024482
