Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,20)","Exit_ta_wrapper(ema,C,20)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)"
16,7181,7396,59577.99,59312.01,59312.01,61746.82,-6157.919999999935,1902.24,-0.006459935959571632,2024-09-13 17:15:00,2024-09-15 23:00:00,2 days 05:45:00,,58941.00115297267,59599.38846124489,616.834351,229.52161750000005
15,7563,7564,61013.34,60725.11,60725.11,63559.01,-6149.526749999939,1826.0767500000002,-0.006719324823063181,2024-09-17 16:45:00,2024-09-17 17:00:00,0 days 00:15:00,,60283.56691817478,60336.36911644385,842.1436185,855.8822785000001
15,7565,7571,60838.0,60686.36,60686.36,63447.99,-4097.465399999992,1822.8654000000001,-0.004490028600545756,2024-09-17 17:15:00,2024-09-17 18:45:00,0 days 01:30:00,,60391.89015297301,60592.11446442448,849.717295,816.6380415000001
15,7675,7740,60181.82,63208.02,59473.68,63208.02,43542.152399999955,1850.8476,0.048234004222537555,2024-09-18 20:45:00,2024-09-19 13:00:00,0 days 16:15:00,,60080.792045346876,62573.67838129501,836.4256165000002,380.330469
15,10110,10110,63924.01,63888.0,63888.0,66380.0,-2457.3301500000307,1917.1801500000001,-0.002562761785438691,2024-10-14 05:30:00,2024-10-14 05:30:00,0 days 00:00:00,,63536.15522732674,63536.15522732674,427.5424525,427.5424525
15,10111,10179,63949.41,66479.82,63778.62,66479.82,35999.71155000005,1956.43845,0.03752936532174417,2024-10-14 05:45:00,2024-10-14 22:45:00,0 days 17:00:00,,63574.76330091467,65959.9425305133,426.834451,264.9106895
15,10250,11025,66619.46,65314.0,65314.0,70366.0,-21560.901900000095,1979.0019000000002,-0.021576179993053165,2024-10-15 16:30:00,2024-10-23 18:15:00,8 days 01:45:00,,66159.5878780718,66014.06137613968,1195.1992515,495.3508550000001
13,12315,12316,74637.99,73796.73,73796.73,80627.99,-12866.031360000121,1929.65136,-0.013259932642880801,2024-11-06 04:45:00,2024-11-06 05:00:00,0 days 00:15:00,,72867.49493736641,72972.68303856961,1772.6571723500003,1837.2013533500003
13,12317,12326,73971.97,73638.97,73638.97,79680.02,-6247.94222,1918.94222,-0.006497203467746005,2024-11-06 05:15:00,2024-11-06 07:30:00,0 days 02:15:00,,73105.81798727726,73866.13933485044,1851.3919338500002,1983.9952324000003
12,12707,12707,78739.69,78690.0,78690.0,82875.61000000002,-2485.436280000028,1889.1562800000002,-0.0026304356798966177,2024-11-10 06:45:00,2024-11-10 06:45:00,0 days 00:00:00,,78282.98070963072,78282.98070963072,876.13838035,876.13838035
12,12708,12764,78903.42,78612.0,78612.0,82702.62000000001,-5387.225039999979,1890.18504,-0.005689682652538996,2024-11-10 07:00:00,2024-11-10 21:00:00,0 days 14:00:00,,78352.93397538018,79713.42519255703,889.3037008500002,766.67783055
12,12783,12838,81294.37,84049.99,80366.02,84049.99,31083.307680000118,1984.1323200000002,0.031862915476188594,2024-11-11 01:45:00,2024-11-11 15:30:00,0 days 13:45:00,,80494.52868682925,82311.33113415254,654.2640991000001,895.8010277999999
12,12846,12861,84354.0,87443.6,83831.84,87443.6,35013.62880000007,2061.5712000000003,0.03458997083718631,2024-11-11 17:30:00,2024-11-11 21:15:00,0 days 03:45:00,,83494.99197171633,85891.04701390186,1177.5198147000003,1203.2232679
12,12867,12914,87045.68,86372.31,86372.31,92152.01,-10161.455879999943,2081.01588,-0.0097280874823425,2024-11-11 22:45:00,2024-11-12 10:30:00,0 days 11:45:00,,86611.38480478688,88228.96755773242,1280.0045584,1078.74176655
11,12956,12957,89472.01,88630.0,88630.0,93772.75000000001,-11221.232109999943,1959.12211,-0.011401465218004975,2024-11-12 21:00:00,2024-11-12 21:15:00,0 days 00:15:00,,88489.60756345683,88527.35827169903,853.518572,852.0220214999999
11,12958,12958,88886.0,88458.98,88458.98,92470.86000000002,-6648.014780000045,1950.79478,-0.006799327003127662,2024-11-12 21:30:00,2024-11-12 21:30:00,0 days 00:00:00,,88519.03843629913,88519.03843629913,817.883506,817.883506
11,12963,12965,88505.06,87612.0,87612.0,92787.81,-11760.947659999974,1937.28766,-0.012080406024243116,2024-11-12 22:45:00,2024-11-12 23:15:00,0 days 00:30:00,,88433.62940877854,88383.43432328582,719.2509875000001,689.5682615
10,13038,13044,92210.21,91467.9,91467.9,98571.62999999999,-9259.881100000122,1836.7811000000002,-0.010042142947077271,2024-11-13 17:30:00,2024-11-13 19:00:00,0 days 01:30:00,,91081.31401693734,91594.82960871073,1771.7618898500002,1711.15350385
10,13520,13522,91564.69,90904.25,90904.25,95404.0,-8429.089400000023,1824.6894000000002,-0.009205611245994564,2024-11-18 18:00:00,2024-11-18 18:30:00,0 days 00:30:00,,91285.4120115749,91186.43427704883,805.2602590000001,808.1705345000001
