Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,9)","Exit_ta_wrapper(ema,C,9)","Entry_ta_wrapper(ema,C,21)","Exit_ta_wrapper(ema,C,21)","Entry_ta_wrapper(rsi,C,14)","Exit_ta_wrapper(rsi,C,14)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
16,3878,3886,60628.01,60938.80003740752,60420.79997506166,60938.80003740752,3027.571637921767,1945.0689605985203,0.003121052915477675,2024-08-10 07:30:00,2024-08-10 09:30:00,0 days 02:00:00,,60540.477045265645,60792.95038269065,60502.53872515032,60675.693925632266,60.161549749096544,66.99436595133822,73.515847,87.13250899999998,169.03406691657636,162.19542882728297
16,3920,3920,60767.81,61021.772668012,60598.484887992,61021.772668012,2114.769365503895,1948.633322688192,0.002175050990713537,2024-08-10 18:00:00,2024-08-10 18:00:00,0 days 00:00:00,,60765.45700614585,60765.45700614585,60713.02525799934,60713.02525799934,69.14437675500136,69.14437675500136,112.866107,112.866107,163.97121762523807,163.97121762523807
16,3945,3945,61198.84,61033.57206940481,61033.57206940481,61446.74189589278,-4600.005482633512,1955.7185931104768,-0.004697807060797119,2024-08-11 00:15:00,2024-08-11 00:15:00,0 days 00:00:00,,60984.63371970767,60984.63371970767,60956.87085918436,60956.87085918436,54.39984030077465,54.39984030077465,71.92795,71.92795,145.10089867485033,145.10089867485033
16,4073,4075,58812.91,58428.71410268588,58428.71410268588,59389.203845971184,-8023.000342668937,1875.865985642974,-0.00852597705872414,2024-08-12 08:15:00,2024-08-12 08:45:00,0 days 00:30:00,,58589.648989542635,58541.80215330729,58564.239920673754,58547.31009973038,53.99708092917974,43.18645951130126,284.073657,295.0105105,311.53658720735507,315.824047132872
16,4191,4193,59194.31,59675.19295606571,58873.721362622855,59675.19295606571,5792.215249754316,1901.9120472970512,0.006115679921087771,2024-08-13 13:45:00,2024-08-13 14:15:00,0 days 00:30:00,,59061.23375591812,59217.589203787604,59003.29536764514,59089.36798978937,63.21902833476893,62.15888330055202,279.06734,289.211574,265.66311225611975,270.1833978126749
16,4435,4474,58135.3,57737.93525288097,57737.93525288097,58731.37212067854,-8211.807717950644,1853.9717640460956,-0.008828336352816869,2024-08-16 02:45:00,2024-08-16 12:30:00,0 days 09:45:00,,57738.29438365502,58209.29021767687,57638.02132400193,58292.94746151635,63.041100137253665,31.976803111231412,301.3714035,211.66065600000002,322.29450669924825,232.83743150730507
16,4765,4765,58571.66,58890.107354201,58359.34509719934,58890.107354201,3215.7693895486973,1879.388277667216,0.0034314476804446713,2024-08-19 13:15:00,2024-08-19 13:15:00,0 days 00:00:00,,58454.37854027698,58454.37854027698,58407.33841494674,58407.33841494674,62.74386548072736,62.74386548072736,287.125975,287.125975,189.17641288146723,189.17641288146723
16,4955,4958,59552.0,59362.39924718987,59362.39924718987,59836.401129215206,-4936.242432917161,1902.6303879550378,-0.005180601021919039,2024-08-21 12:45:00,2024-08-21 13:30:00,0 days 00:45:00,,59429.25279554303,59357.395991318044,59412.96660949106,59385.06607775436,54.79102037206441,35.775965577213924,182.13594600000002,202.97419749999997,157.8805825316526,190.11409614505916
16,4960,4960,59928.01,59621.27543572408,59621.27543572408,60388.086846413884,-6820.541595386379,1912.7885669715852,-0.0071132655616572196,2024-08-21 14:00:00,2024-08-21 14:00:00,0 days 00:00:00,,59486.815434443546,59486.815434443546,59444.74973368128,59444.74973368128,52.55655683871007,52.55655683871007,317.984157,317.984157,293.2599604516073,293.2599604516073
15,5098,5098,60679.98,60954.99855740372,60496.63429506419,60954.99855740372,2300.7536826946966,1824.524678361056,0.0025277460349578053,2024-08-23 00:30:00,2024-08-23 00:30:00,0 days 00:00:00,,60552.39753227607,60552.39753227607,60503.64910865701,60503.64910865701,63.684974346157354,63.684974346157354,133.57009200000002,133.57009200000002,168.16108120032857,168.16108120032857
14,5266,5266,64400.0,64177.864934342084,64177.864934342084,64733.202598486874,-4909.981028291615,1800.0901090807893,-0.005445852959507103,2024-08-24 18:30:00,2024-08-24 18:30:00,0 days 00:00:00,,64156.95409578964,64156.95409578964,64141.4489495564,64141.4489495564,51.33219386143672,51.33219386143672,187.16718050000003,187.16718050000003,197.24737223529073,197.24737223529073
14,5342,5346,64069.2,64250.63003965875,63948.22997356084,64250.63003965875,743.5429346672718,1796.4776205552225,0.0008289507223296776,2024-08-25 13:30:00,2024-08-25 14:30:00,0 days 01:00:00,,63942.1883610691,64070.048160693914,63932.82158428143,64002.5681266863,53.27654219193579,63.55781500756962,109.36365500000001,111.25386500000002,106.17216331601912,110.15926583894296
15,5616,5616,60200.11,59884.53111154473,59884.53111154473,60673.50333268291,-6534.952943502185,1801.2696166731712,-0.007236922483477421,2024-08-28 10:00:00,2024-08-28 10:00:00,0 days 00:00:00,,59530.02127494461,59530.02127494461,59379.78419584097,59379.78419584097,63.5201060328539,63.5201060328539,399.77444649999995,399.77444649999995,273.6992589237204,273.6992589237204
