Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,"Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
14,1957,1985,66755.45,67079.19249999999,66545.38919636191,67079.19249999999,2658.7100049999026,1873.6849949999998,0.0028448292611313064,2024-07-21 07:15:00,2024-07-21 14:15:00,0 days 07:00:00,,67454.16534079977,67076.52220191136,29.47452076755412,21.552389936706557,142.3421641569149,138.02600774815716
14,2053,2060,67297.96,66979.82108038619,66979.82108038619,67795.518,-6333.833809718871,1879.8889351254068,-0.006722591601501796,2024-07-22 07:15:00,2024-07-22 09:00:00,0 days 01:45:00,,68291.9138390781,68021.1436886592,26.49540628401181,32.393541415961025,207.90647404664688,205.6378192445435
14,2269,2277,66440.0,66200.27630289532,66200.27630289532,67104.4,-5213.095627706061,1856.9638682405343,-0.0056045149519503125,2024-07-24 13:15:00,2024-07-24 15:15:00,0 days 02:00:00,,66599.86684047426,66870.88807983443,28.481471762959465,25.460421286010174,173.75681249337146,257.528196145871
14,2755,2755,68860.02,68460.87806951859,68460.87806951859,69494.974,-7510.479599713126,1922.4925729732604,-0.007790628416183137,2024-07-29 14:45:00,2024-07-29 14:45:00,0 days 00:00:00,,70299.13866294712,70299.13866294712,27.874492766924494,27.874492766924494,303.94714744088145,303.94714744088145
14,2843,2846,66809.99,66489.81326616205,66489.81326616205,67478.1,-6348.671519457677,1866.1972457262686,-0.006787555829661406,2024-07-30 12:45:00,2024-07-30 13:30:00,0 days 00:45:00,,66992.22878419382,66911.45605963236,25.106502341628456,25.502114145070927,211.21154951873476,232.07216264309815
14,2963,2965,66545.99,66153.72063054238,66153.72063054238,67211.46,-7349.567121234415,1857.7959488275933,-0.00788881614186182,2024-07-31 18:45:00,2024-07-31 19:15:00,0 days 00:30:00,,66753.55344666135,66843.00064700698,11.740899739969308,13.246649653591307,258.2688953785301,295.4190985661809
15,3242,3242,61027.78,60646.642381823905,60646.642381823905,61781.242,-7542.180608368759,1825.1163357273585,-0.008239068184323937,2024-08-03 16:30:00,2024-08-03 16:30:00,0 days 00:00:00,,62665.79192125599,62665.79192125599,30.62861743124842,30.62861743124842,289.9037636328218,289.9037636328218
15,3985,3988,61204.64,60925.179418021886,60925.179418021886,61816.6864,-6023.856020942032,1831.9472912703282,-0.006561437194894657,2024-08-11 10:15:00,2024-08-11 11:00:00,0 days 00:45:00,,61358.42834116921,61426.64957328472,29.28635057868028,28.594616212165914,187.8129793197836,200.6459604830772
15,3997,4021,60284.01,59927.821432863544,59927.821432863544,60887.399,-7146.005978539823,1803.1774714929531,-0.007902599687202612,2024-08-11 13:15:00,2024-08-11 19:15:00,0 days 06:00:00,,61585.756113943855,60513.52753964915,29.807632061903195,25.663558078186583,232.4264939416148,219.74302372083156
15,4290,4298,59492.68,58856.867399276365,58856.867399276365,60809.95450000001,-11312.432221843672,1775.2432109891456,-0.012676553621771761,2024-08-14 14:30:00,2024-08-14 16:30:00,0 days 02:00:00,,62219.24580271411,61808.71321187921,29.963467837112827,35.93214479579956,421.73518140034906,422.2973433887443
