Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)"
17,4865,4865,60388.01,60077.634,60077.634,61008.76200000001,-7324.307948000065,2047.9159479999998,-0.007134556081579821,2024-08-20 14:15:00,2024-08-20 14:15:00,0 days 00:00:00,,316.211645,316.211645,25.71432119178005,25.71432119178005
17,4938,4941,59449.98,59204.776000000005,59204.776000000005,59940.41799999998,-6185.598851999965,2017.1308520000002,-0.006120418476170996,2024-08-21 08:30:00,2024-08-21 09:15:00,0 days 00:45:00,,154.0120305,175.90707,16.938237280009687,16.341585164100614
16,5056,5059,60816.0,60355.842,60355.842,61736.286,-9301.277472000049,1938.749472,-0.009558830603788527,2024-08-22 14:00:00,2024-08-22 14:45:00,0 days 00:45:00,,325.8703735,356.3150695,26.09566463660294,30.22421437441768
15,5279,5279,63955.99,63723.998,63723.998,64419.973999999995,-5395.079819999975,1915.1998199999998,-0.005623742013844158,2024-08-24 21:45:00,2024-08-24 21:45:00,0 days 00:00:00,,156.60277049999996,156.60277049999996,19.098982101913414,19.098982101913414
15,5318,5318,63967.0,63815.45,63815.45,64270.100000000006,-4189.986750000044,1916.73675,-0.004366821173417578,2024-08-25 07:30:00,2024-08-25 07:30:00,0 days 00:00:00,,107.14383199999999,107.14383199999999,16.789379114117708,16.789379114117708
15,5326,5326,63807.92,63784.104,63784.104,63855.582,-2271.1203599999835,1913.8803599999999,-0.002372871956960812,2024-08-25 09:30:00,2024-08-25 09:30:00,0 days 00:00:00,,111.78271500000002,111.78271500000002,23.11140901319122,23.11140901319122
15,5327,5341,63874.0,64079.90400000001,63771.047999999995,64079.90400000001,1169.251440000143,1919.3085600000002,0.001220372859066538,2024-08-25 09:45:00,2024-08-25 13:15:00,0 days 03:30:00,,111.93104200000003,105.39543400000001,24.277616747340723,22.079622525745624
16,5824,5826,59653.0,58817.6,58817.6,61323.8,-15261.929600000023,1895.5295999999998,-0.015990320687978878,2024-08-30 14:00:00,2024-08-30 14:30:00,0 days 00:30:00,,299.6678375,343.790341,20.29483870137316,21.02226091137604
16,5829,5830,58596.99,58001.738,58001.738,59787.494,-11389.611648000006,1865.579648,-0.012148247341715055,2024-08-30 15:15:00,2024-08-30 15:30:00,0 days 00:15:00,,482.3184705,545.8085460000001,26.736503351389672,28.762331291598294
16,5895,5899,59146.11,59037.982,59037.982,59362.365999999995,-3620.993471999952,1890.945472,-0.003826322508783752,2024-08-31 07:45:00,2024-08-31 08:45:00,0 days 01:00:00,,71.708574,77.26658,14.722399293505108,17.442529468790898
